,uni_par_id,strain,movie_name,replicate,id_colony,id_par,frames,generation,age,cdg_dh,cdg_dl,cdg_norm_dh,cdg_norm_dl,len_dh,len_dl,idc_dh,idc_dl,rel_cdg_hl
5,AKS1094-2-88,AKS1094,AKS1094_TL_01_05,2,2,88,49,3.0,5,759.2727272727273,668.9321266968326,1.5367984030875412,1.3539454100692165,37.71961212158203,32.44261932373047,89,245,0.8810169293181465
6,AKS1094-2-88,AKS1094,AKS1094_TL_01_05,2,2,88,50,3.0,6,761.3832335329341,616.6,1.541070152267895,1.2480230901318914,39.10636520385742,34.078311920166016,89,245,0.8098418415899207
7,AKS1094-2-88,AKS1094,AKS1094_TL_01_05,2,2,88,51,3.0,7,762.9304347826087,542.8370044052864,1.5442017495508575,1.0987238334022458,40.22396087646485,35.32987594604492,89,245,0.7115157289012383
8,AKS1094-2-88,AKS1094,AKS1094_TL_01_05,2,2,88,52,3.0,8,760.8032786885246,472.3862660944206,1.5398963004400374,0.9561287180457748,42.42420959472656,37.08226776123047,89,245,0.6209046140136537
9,AKS1094-2-88,AKS1094,AKS1094_TL_01_05,2,2,88,53,3.0,9,768.4296875,408.27272727272725,1.5553324572540281,0.8263603482119429,43.60044860839844,37.56452941894531,89,245,0.5313078527730973
10,AKS1094-2-88,AKS1094,AKS1094_TL_01_05,2,2,88,54,3.0,10,727.379652605459,333.78846153846155,1.4722455428863552,0.6756012118384703,45.606910705566406,39.26062774658203,89,245,0.45889166729209174
11,AKS1094-2-88,AKS1094,AKS1094_TL_01_05,2,2,88,55,3.0,11,556.3831325301205,279.3863636363636,1.1261417391461284,0.5654891872951132,47.63263702392578,40.23232269287109,89,245,0.502147436364345
12,AKS1094-2-88,AKS1094,AKS1094_TL_01_05,2,2,88,56,3.0,12,339.37986270022884,256.15972222222223,0.6869184316829008,0.518477535022875,50.31935119628906,41.8212890625,89,245,0.7547876299557755
13,AKS1094-2-88,AKS1094,AKS1094_TL_01_05,2,2,88,57,3.0,13,256.14870689655174,245.80582524271844,0.5184552395626381,0.4975208329416756,51.70404052734375,44.10132598876953,89,245,0.959621573814892
14,AKS1094-2-88,AKS1094,AKS1094_TL_01_05,2,2,88,58,3.0,14,234.19421487603304,243.9628482972136,0.4740184686029824,0.4937905738067895,54.485595703125,45.21504211425781,89,245,1.0417116768932633
15,AKS1094-2-88,AKS1094,AKS1094_TL_01_05,2,2,88,59,3.0,15,465.1510934393638,247.26512968299716,0.9414844388784026,0.5004745235628235,56.56854248046875,48.56696701049805,89,245,0.5315802395619439
0,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,38,3.0,0,729.6197916666666,699.5797101449275,1.0,0.9588277595196277,28.259056091308597,20.20000267028809,3,267,0.9588277595196276
1,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,39,3.0,1,726.1739130434783,690.9266666666666,0.995277158511124,0.9469680983959967,29.23270034790039,21.627723693847656,3,267,0.9514617011934697
2,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,40,3.0,2,704.3177570093458,656.9745222929936,0.9653216168937474,0.9004340751122858,31.21078872680664,22.20118522644043,3,267,0.9327814267847233
3,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,41,3.0,3,702.7023255813954,629.7454545454545,0.9631075439664488,0.8631145450521981,32.1001091003418,22.80788993835449,3,267,0.8961767047297325
4,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,42,3.0,4,689.1608695652174,477.1686046511628,0.9445479377566922,0.653996245854528,33.0,24.17909049987793,3,267,0.6923907402812964
5,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,43,3.0,5,711.1125,348.1460674157304,0.9746343343779222,0.47716094244162727,33.0,24.584747314453125,3,267,0.4895794510935055
6,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,44,3.0,6,749.1522633744856,689.4180790960452,1.0267707536595205,0.9449004631867388,35.04628372192383,25.01065444946289,3,267,0.9202642944581474
7,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,45,3.0,7,746.9844357976654,678.0983606557377,1.0237995793553418,0.929385919078156,35.18598175048828,26.038318634033203,3,267,0.9077811105014955
8,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,46,3.0,8,764.5627376425856,674.5243243243243,1.0478919930284498,0.9244874276004931,37.23470687866211,26.41575050354004,3,267,0.8822354152441679
9,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,47,3.0,9,777.9306569343066,680.4659685863875,1.0662137538200325,0.9326309077115392,38.237892150878906,26.92578125,3,267,0.8747128841380143
10,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,48,3.0,10,786.4947368421052,677.6134020618557,1.0779514835329775,0.9287212460533547,39.36355972290039,27.96868133544922,3,267,0.8615612671263073
11,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,49,3.0,11,793.6381578947369,692.2385786802031,1.0877420910990276,0.9487661746386103,40.28971099853516,28.56705665588379,3,267,0.8722344960283743
12,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,50,3.0,12,803.5583596214511,693.2364532019704,1.1013384899906389,0.9501338383631481,42.212684631347656,29.40964126586914,3,267,0.8627082836006431
13,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,51,3.0,13,778.6042296072508,690.5240384615385,1.0671369369362764,0.9464162654965513,45.09547805786133,29.998918533325195,3,267,0.886874245224506
14,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,52,3.0,14,752.1282051282051,701.1187214611872,1.0308495105514102,0.9609370928105245,47.13907241821289,31.199995040893555,3,267,0.9321798021677394
15,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,53,3.0,15,762.465940054496,709.2232558139535,1.0450181707828936,0.9720449800215515,49.17367935180664,32.496238708496094,3,267,0.9301704096621851
16,AKS1095-0-2,AKS1095,AKS1095_TL_01_07,0,0,2,54,3.0,16,767.4782608695652,704.8805309734513,1.0518879416859275,0.9660929418640035,52.03118515014648,33.92231750488281,3,267,0.9184371296390993
0,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,35,3.0,0,112.55833333333334,112.45283018867924,1.0,0.9990626802873701,19.23018264770508,26.0,249,109,0.9990626802873701
1,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,36,3.0,1,111.288,112.0552995391705,0.9887140001480713,0.9955309058044318,20.75132751464844,27.0,249,109,1.0068947194591555
2,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,37,3.0,2,111.43703703703704,111.77027027027027,0.990038087246942,0.9929986253374127,21.35595703125,28.4913387298584,249,109,1.0029903274718484
3,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,38,3.0,3,111.33571428571427,111.97457627118644,0.9891379073284751,0.9948137375096151,22.62741470336914,29.453102111816406,249,109,1.005738158591525
4,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,39,3.0,4,112.7062937062937,112.2603305785124,1.001314521711353,0.9973524594226317,22.62741470336914,31.01475524902344,249,109,0.9960431390908526
5,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,40,3.0,5,112.57534246575342,111.6153846153846,1.0001511139328059,0.9916225774669543,22.62741470336914,32.056671142578125,249,109,0.9914727521201114
6,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,41,3.0,6,113.94594594594597,112.5587044534413,1.0123279420680769,1.0000032971357782,23.33452033996582,33.9765510559082,249,109,0.9878254423096127
7,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,42,3.0,7,114.09655172413792,111.4140625,1.0136659663061043,0.9898339749759384,23.33452033996582,34.12821578979492,249,109,0.976489305035058
8,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,43,3.0,8,113.83766233766234,113.17518248175182,1.0113659199318488,1.0054802619242036,24.74873733520508,35.35379409790039,249,109,0.9941804861211443
9,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,44,3.0,9,113.90666666666668,112.7380073800738,1.0119789738654033,1.0015962749395761,24.74873733520508,36.34529113769531,249,109,0.9897402029153147
10,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,45,3.0,10,115.0969696969697,112.80851063829788,1.0225539619187356,1.0022226457833527,26.16295051574707,37.62636947631836,249,109,0.980117121548057
11,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,46,3.0,11,114.44303797468356,112.89795918367346,1.0167442479426985,1.0030173319049986,26.839643478393555,39.4523811340332,249,109,0.9864991456155516
12,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,47,3.0,12,113.39156626506023,112.06472491909383,1.0074026765238193,0.9956146435397394,27.57958221435547,41.59294128417969,249,109,0.9882985887780682
13,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,48,3.0,13,114.4235294117647,111.75229357798165,1.016570928363942,0.9928389153296658,28.2961540222168,43.73765182495117,249,109,0.9766548379733128
14,AKS1095-0-108,AKS1095,AKS1095_TL_01_07,0,5,108,49,3.0,14,115.47305389221556,112.22636103151862,1.0258952000492978,0.9970506643801166,29.058576583862305,45.89117431640625,249,109,0.971883545543643
0,AKS1095-0-113,AKS1095,AKS1095_TL_01_07,0,15,113,43,3.0,0,689.7590909090909,671.3214285714286,1.0,0.9732694174231733,28.012359619140625,20.23857688903809,114,310,0.9732694174231733
